"magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","potential","GeometryIds","magnetic field strength e:0","magnetic field strength e:1","magnetic field strength e:2","magnetic flux density e:0","magnetic flux density e:1","magnetic flux density e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.054e+05,-1596.5,0,-0.51522,-0.0020572,0,2.1023e-06,1,4.782e+05,108.09,0,-0.56911,0.00014938,0,1,0.00682,-0.10318,0,0
5.9639e+05,-1557.1,0,-0.52005,-0.0020114,0,1.6845e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00704,-0.10296,0,0
5.8496e+05,-1502.7,0,-0.52513,-0.0019469,0,1.2245e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00726,-0.10274,0,0
5.7354e+05,-1448.3,0,-0.5302,-0.0018823,0,7.6453e-07,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00748,-0.10252,0,0
5.6211e+05,-1393.9,0,-0.53528,-0.0018177,0,3.0456e-07,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.0077,-0.1023,0,0
5.5069e+05,-1339.6,0,-0.54035,-0.0017532,0,-1.5543e-07,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00792,-0.10208,0,0
5.3926e+05,-1285.2,0,-0.54543,-0.0016886,0,-6.1542e-07,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00814,-0.10186,0,0
5.2784e+05,-1230.8,0,-0.5505,-0.001624,0,-1.0754e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00836,-0.10164,0,0
5.1641e+05,-1176.4,0,-0.55558,-0.0015594,0,-1.5354e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00858,-0.10142,0,0
5.0499e+05,-1122,0,-0.56065,-0.0014949,0,-1.9954e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.0088,-0.1012,0,0
4.9356e+05,-1067.6,0,-0.56573,-0.0014303,0,-2.4554e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00902,-0.10098,0,0
4.8214e+05,-1013.3,0,-0.5708,-0.0013657,0,-2.9154e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00924,-0.10076,0,0
4.7071e+05,-958.88,0,-0.57588,-0.0013012,0,-3.3754e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00946,-0.10054,0,0
4.5929e+05,-904.5,0,-0.58095,-0.0012366,0,-3.8354e-06,1,4.782e+05,-1297.1,0,-0.56911,-0.0017926,0,1,0.00968,-0.10032,0,0
